시도명,시군구명,법정동명,법정동코드,기준연월,청년연령기준,총인구수,청년인구수,청년비율,총가구수,1인가구수,1인가구비율,기초수급가구수,기초수급가구비율,연결된_행정동수
서울특별시,강서구,오쇠동,1150011300,2024,20-39세,3,0,0.0,1,0,0.0,0,0.0,1
서울특별시,관악구,봉천동,1162010100,2024,20-39세,219780,90049,0.4097233597233597,118993,67447,0.5668148546553159,7749,0.06512147773398436,9
서울특별시,관악구,신림동,1162010200,2024,20-39세,240525,97244,0.40429892942521567,136086,81392,0.5980923827579618,11958,0.08787090516291168,11
서울특별시,관악구,남현동,1162010300,2024,20-39세,17507,7374,0.4212029473924716,9069,4766,0.5255265189105744,303,0.03341051935163745,1
서울특별시,광진구,중곡동,1121510100,2024,20-39세,77946,25302,0.32460934493110616,37406,16661,0.4454098273004331,3828,0.10233652355237127,4
서울특별시,광진구,능동,1121510200,2024,20-39세,10903,4583,0.42034302485554437,6142,3594,0.5851514164767176,331,0.05389124063822859,1
서울특별시,광진구,구의동,1121510300,2024,20-39세,75913,24347,0.3207224059120309,34092,13853,0.40634166373342717,2218,0.06505925143728734,3
서울특별시,광진구,광장동,1121510400,2024,20-39세,33788,7131,0.21105126080265182,11151,1707,0.15308044121603442,228,0.020446596717783157,1
서울특별시,광진구,자양동,1121510500,2024,20-39세,91804,28489,0.3103241688815302,41345,16670,0.4031926472366671,3025,0.07316483250695369,4
서울특별시,광진구,화양동,1121510700,2024,20-39세,22880,14859,0.6494318181818182,17461,13728,0.7862092663650421,639,0.03659584216253365,1
서울특별시,광진구,군자동,1121510900,2024,20-39세,18729,7530,0.4020502963318917,11012,6720,0.6102433708681438,759,0.06892480929894661,1
서울특별시,구로구,신도림동,1153010100,2024,20-39세,36001,9971,0.2769645287630899,13665,3350,0.2451518477863154,175,0.012806439809732895,1
서울특별시,구로구,구로동,1153010200,2024,20-39세,112687,35664,0.3164872611747584,55466,25251,0.4552518660080049,3058,0.05513287419319944,5
서울특별시,구로구,가리봉동,1153010300,2024,20-39세,8737,3082,0.35275266109648623,5223,3379,0.6469461995022018,668,0.1278958452996362,1
서울특별시,구로구,고척동,1153010600,2024,20-39세,51900,14248,0.27452793834296724,21703,6736,0.31037183799474727,1649,0.0759802792240704,2
서울특별시,구로구,개봉동,1153010700,2024,20-39세,81589,20319,0.24904092463444827,33547,9374,0.2794288610009837,2592,0.07726473306107849,3
서울특별시,구로구,오류동,1153010800,2024,20-39세,43276,13165,0.3042101857842684,20235,8570,0.42352359772671117,1869,0.09236471460340993,2
서울특별시,구로구,궁동,1153010900,2024,20-39세,13826,3293,0.23817445392738318,5727,1677,0.2928234677841802,567,0.09900471451021477,1
서울특별시,구로구,온수동,1153011000,2024,20-39세,8573,2042,0.23818966522804152,3551,1040,0.2928752464094621,351,0.09884539566319346,1
서울특별시,구로구,천왕동,1153011100,2024,20-39세,7607,1729,0.22729065334560272,3063,873,0.2850146914789422,318,0.10381978452497552,1
서울특별시,구로구,항동,1153011200,2024,20-39세,23971,5781,0.24116640941137207,9206,2379,0.25841842276776017,788,0.08559635020638715,2
서울특별시,금천구,가산동,1154510100,2024,20-39세,24875,13753,0.5528844221105528,17085,12732,0.7452151009657595,831,0.04863915715539947,1
서울특별시,금천구,독산동,1154510200,2024,20-39세,101783,34354,0.3375219830423548,51783,25190,0.4864530830581465,4747,0.0916710117219937,4
서울특별시,금천구,시흥동,1154510300,2024,20-39세,98501,23981,0.24345945726439325,43808,15936,0.36376917457998537,5625,0.12840120525931337,5
서울특별시,노원구,월계동,1135010200,2024,20-39세,73754,18504,0.25088808742576674,32955,11947,0.36252465483234714,4631,0.14052495827643757,3
서울특별시,노원구,공릉동,1135010300,2024,20-39세,76873,23822,0.30988773691673277,34760,14440,0.4154200230149597,2782,0.08003452243958573,2
서울특별시,노원구,하계동,1135010400,2024,20-39세,46615,12050,0.2585004826772498,18376,5732,0.3119286025250326,3044,0.16565084893339138,2
서울특별시,노원구,상계동,1135010500,2024,20-39세,207138,52957,0.25566047755602545,86655,26709,0.3082222606889389,8663,0.09997114996249495,9
서울특별시,노원구,중계동,1135010600,2024,20-39세,86866,17611,0.2027375497893307,32919,8353,0.25374403839727816,4777,0.14511376408760898,4
서울특별시,도봉구,쌍문동,1132010500,2024,20-39세,72218,17980,0.24896840122961034,31350,10783,0.34395534290271135,3113,0.0992982456140351,4
서울특별시,도봉구,방학동,1132010600,2024,20-39세,71158,15711,0.22079035386042328,29848,9629,0.32260117930849636,3862,0.1293889037791477,3
서울특별시,도봉구,창동,1132010700,2024,20-39세,114255,29484,0.2580543521071288,48340,15737,0.3255482002482416,3568,0.07381050889532478,5
서울특별시,도봉구,도봉동,1132010800,2024,20-39세,45597,9882,0.21672478452529773,20303,7198,0.3545288873565483,2592,0.127665862187854,2
서울특별시,동대문구,신설동,1123010100,2024,20-39세,3688,1347,0.36523861171366595,1891,995,0.526176626123744,148,0.07826546800634585,1
서울특별시,동대문구,용두동,1123010200,2024,20-39세,34931,12759,0.3652629469525636,17915,9430,0.526374546469439,1402,0.07825844264582751,1
서울특별시,동대문구,제기동,1123010300,2024,20-39세,22895,7429,0.3244813278008299,11586,6030,0.5204557224236147,1393,0.12023131365441049,1
서울특별시,동대문구,전농동,1123010400,2024,20-39세,63869,17895,0.2801828743208755,28508,11040,0.38725971657078717,2581,0.09053598989757261,3
서울특별시,동대문구,답십리동,1123010500,2024,20-39세,41552,11765,0.2831391990758568,17970,6308,0.35102949360044516,1487,0.08274902615470228,2
서울특별시,동대문구,장안동,1123010600,2024,20-39세,70027,19125,0.2731089436931469,30065,10799,0.3591884250789955,2354,0.07829702311658074,2
서울특별시,동대문구,청량리동,1123010700,2024,20-39세,18473,4329,0.2343420126671358,8872,4095,0.46156447249774574,1632,0.18394950405770966,1
서울특별시,동대문구,회기동,1123010800,2024,20-39세,10229,4868,0.475901847687946,6548,4475,0.68341478313989,292,0.04459376908979841,1
서울특별시,동대문구,휘경동,1123010900,2024,20-39세,37494,14510,0.3869952525737451,19139,10049,0.5250535555671665,840,0.04388944040963478,2
서울특별시,동대문구,이문동,1123011000,2024,20-39세,35576,11659,0.3277209354621093,18271,9132,0.49980843960374366,1239,0.06781238027475234,2
서울특별시,동작구,노량진동,1159010100,2024,20-39세,32211,12207,0.37896991710906214,17042,9436,0.553690881351954,1399,0.08209130383757775,2
서울특별시,동작구,상도동,1159010200,2024,20-39세,120263,40028,0.3328371984733459,55868,24416,0.4370301424786998,3384,0.060571346745901054,4
서울특별시,동작구,상도1동,1159010300,2024,20-39세,3444,1264,0.3670150987224158,1667,806,0.483503299340132,80,0.04799040191961608,1
서울특별시,동작구,본동,1159010400,2024,20-39세,8492,3154,0.3714083843617522,4229,2111,0.49917238117758334,296,0.06999290612437929,1
서울특별시,동작구,흑석동,1159010500,2024,20-39세,30087,8492,0.2822481470402499,12302,3933,0.31970411315233294,480,0.03901804584620387,1
서울특별시,동작구,동작동,1159010600,2024,20-39세,1514,420,0.2774108322324967,630,200,0.31746031746031744,32,0.050793650793650794,1
서울특별시,동작구,사당동,1159010700,2024,20-39세,99897,32773,0.32806790994724566,46325,19695,0.425148407987048,2533,0.05467889908256881,5
서울특별시,동작구,대방동,1159010800,2024,20-39세,34969,10798,0.308787783465355,15780,6712,0.4253485424588086,1126,0.07135614702154626,1
서울특별시,동작구,신대방동,1159010900,2024,20-39세,44919,13772,0.3065963178165142,19769,7836,0.3963781678385351,1048,0.05301229197227983,2
서울특별시,마포구,아현동,1144010100,2024,20-39세,23114,7424,0.32119062040321883,9894,3556,0.3594097432787548,531,0.05366889023650697,2
서울특별시,마포구,공덕동,1144010200,2024,20-39세,30831,9652,0.3130615289805715,13226,4874,0.3685165582942689,700,0.05292605474066233,3
서울특별시,마포구,신공덕동,1144010300,2024,20-39세,5065,1693,0.33425468904244815,2309,980,0.42442615851017756,144,0.06236466002598527,1
서울특별시,마포구,도화동,1144010400,2024,20-39세,33820,10061,0.29748669426374924,14432,5318,0.36848669623059865,787,0.05453159645232816,3
서울특별시,마포구,용강동,1144010500,2024,20-39세,2366,597,0.25232459847844463,957,312,0.32601880877742945,40,0.04179728317659352,1
서울특별시,마포구,토정동,1144010600,2024,20-39세,387,97,0.25064599483204136,156,51,0.3269230769230769,6,0.038461538461538464,1
서울특별시,마포구,마포동,1144010700,2024,20-39세,3129,890,0.28443592201981466,1303,452,0.3468917881811205,66,0.05065234075211052,2
서울특별시,마포구,대흥동,1144010800,2024,20-39세,20595,6712,0.32590434571497934,9527,4185,0.4392778419229558,417,0.043770336937126064,3
서울특별시,마포구,염리동,1144010900,2024,20-39세,20001,5756,0.287785610719464,8239,2749,0.3336569972083991,379,0.0460007282437189,3
서울특별시,마포구,노고산동,1144011000,2024,20-39세,7053,3181,0.4510137530129023,4071,2518,0.618521247850651,145,0.0356177843281749,2
서울특별시,마포구,신수동,1144011100,2024,20-39세,14674,5143,0.3504838489845986,7072,3331,0.471012443438914,313,0.04425904977375566,2
서울특별시,마포구,현석동,1144011200,2024,20-39세,2844,857,0.30133614627285515,1249,464,0.37149719775820655,45,0.036028823058446756,1
서울특별시,마포구,구수동,1144011300,2024,20-39세,433,130,0.3002309468822171,190,70,0.3684210526315789,6,0.031578947368421054,1
서울특별시,마포구,창전동,1144011400,2024,20-39세,13785,4918,0.3567645992020312,6503,2940,0.4520990312163617,179,0.027525757342764877,1
서울특별시,마포구,상수동,1144011500,2024,20-39세,6946,2478,0.35675208753239274,3276,1481,0.4520757020757021,90,0.027472527472527472,1
서울특별시,마포구,하중동,1144011600,2024,20-39세,1337,477,0.3567688855646971,630,285,0.4523809523809524,17,0.026984126984126985,1
서울특별시,마포구,신정동,1144011700,2024,20-39세,2305,774,0.33579175704989156,1059,447,0.42209631728045327,31,0.02927289896128423,2
서울특별시,마포구,당인동,1144011800,2024,20-39세,924,329,0.3560606060606061,435,197,0.4528735632183908,12,0.027586206896551724,1
서울특별시,마포구,서교동,1144012000,2024,20-39세,16078,7451,0.46342828710038564,9511,5997,0.6305330669750815,271,0.028493323520134582,1
서울특별시,마포구,동교동,1144012100,2024,20-39세,2829,1311,0.4634146341463415,1673,1055,0.6306037059175135,47,0.028093245666467422,1
서울특별시,마포구,합정동,1144012200,2024,20-39세,16029,6470,0.40364339634412627,8276,4120,0.49782503624939584,383,0.04627839536007733,1
서울특별시,마포구,망원동,1144012300,2024,20-39세,36279,11813,0.325615369773147,16935,7053,0.416474756421612,973,0.05745497490404488,2
서울특별시,마포구,연남동,1144012400,2024,20-39세,14106,5784,0.4100382815823054,7677,4246,0.5530806304546046,314,0.04090139377360948,1
서울특별시,마포구,성산동,1144012500,2024,20-39세,50569,17556,0.34716921434080167,24028,10857,0.4518478441817879,1854,0.07715998002330614,2
서울특별시,마포구,중동,1144012600,2024,20-39세,6473,2272,0.35099644677892783,3069,1389,0.4525904203323558,284,0.09253828608667318,1
서울특별시,마포구,상암동,1144012700,2024,20-39세,29427,7834,0.2662180990247052,12253,4383,0.3577083163306945,916,0.07475720231779973,1
서울특별시,서대문구,충정로2가,1141010100,2024,20-39세,620,197,0.317741935483871,297,138,0.46464646464646464,19,0.06397306397306397,1
서울특별시,서대문구,충정로3가,1141010200,2024,20-39세,2697,858,0.3181312569521691,1294,600,0.46367851622874806,85,0.06568778979907264,1
서울특별시,서대문구,합동,1141010300,2024,20-39세,618,196,0.31715210355987056,296,137,0.46283783783783783,19,0.06418918918918919,1
서울특별시,서대문구,미근동,1141010400,2024,20-39세,250,79,0.316,120,55,0.4583333333333333,7,0.058333333333333334,1
서울특별시,서대문구,냉천동,1141010500,2024,20-39세,2983,768,0.2574589339591016,1295,468,0.3613899613899614,120,0.09266409266409266,1
