시군구명,법정동명,법정동코드,cluster_id,cluster_label,청년비율,1인가구비율,기초수급가구비율,concentration_index,concentration_rank
동대문구,제기동,1123010300,3,복합 밀집형,0.3244813278008299,0.5204557224236147,0.1202313136544104,0.4912946119729019,113
용산구,보광동,1117013600,3,복합 밀집형,0.2742451648810352,0.5121042830540037,0.140462889066241,0.4808609244630445,119
중랑구,상봉동,1126010200,3,복합 밀집형,0.352572174271389,0.4642473494932511,0.1122320302648171,0.4771465209873774,121
용산구,용산동2가,1117010200,3,복합 밀집형,0.3324125230202578,0.4812255240727943,0.1161022805805114,0.47655316681572696,122
강서구,개화동,1150011000,3,복합 밀집형,0.3052631578947368,0.4640287769784172,0.1366906474820144,0.4755361906610734,124
중랑구,중화동,1126010300,3,복합 밀집형,0.2808752064730807,0.4393023486274898,0.1524625904271132,0.4684141758010183,137
영등포구,도림동,1156011800,3,복합 밀집형,0.33692691783931,0.4985549132947977,0.0884837705646954,0.4585324918545623,148
금천구,독산동,1154510200,3,복합 밀집형,0.3375219830423548,0.4864530830581465,0.0916710117219937,0.45735889852182515,149
중랑구,망우동,1126010500,3,복합 밀집형,0.274963145421635,0.4080757767525415,0.1560445841669048,0.4568229605243762,150
강동구,천호동,1174010900,3,복합 밀집형,0.3216158093577448,0.4641925681334194,0.1078649534611059,0.4561624871050819,151
마포구,중동,1144012600,3,복합 밀집형,0.3509964467789278,0.4525904203323558,0.0925382860866731,0.4525494153743671,154
중구,순화동,1114016800,3,복합 밀집형,0.2708768267223382,0.5369978858350951,0.0983086680761099,0.447233326652248,157
광진구,중곡동,1121510100,3,복합 밀집형,0.3246093449311061,0.4454098273004331,0.1023365235523712,0.44519086293183047,159
중랑구,면목동,1126010100,3,복합 밀집형,0.2766243172284757,0.4202270546850016,0.1315957787016309,0.4383950487315,164
용산구,후암동,1117010100,3,복합 밀집형,0.310111364211592,0.4451718494271686,0.1003818876159301,0.4353710777130029,165
마포구,성산동,1144012500,3,복합 밀집형,0.3471692143408016,0.4518478441817879,0.0771599800233061,0.43513270440388546,166
동대문구,이문동,1123011000,3,복합 밀집형,0.3277209354621093,0.4998084396037436,0.0678123802747523,0.433791442852351,167
강북구,수유동,1130510300,3,복합 밀집형,0.2588354151359294,0.4263685277604491,0.1328368683718028,0.43236774652557686,168
종로구,창신동,1111017400,3,복합 밀집형,0.2554405005814275,0.4018097334311568,0.1419662509170946,0.4301138205367385,169
성북구,상월곡동,1129013700,3,복합 밀집형,0.319417203698515,0.4704861111111111,0.078125,0.42823390864144417,171
용산구,이태원동,1117013000,3,복합 밀집형,0.3323244135653849,0.4914792092706203,0.0612133605998636,0.4266271187851456,173
성북구,삼선동4가,1129011400,3,복합 밀집형,0.327319587628866,0.4720720720720721,0.0702702702702702,0.42540029357812853,174
성북구,삼선동2가,1129011200,3,복합 밀집형,0.3272458045409674,0.4715615305067218,0.0703205791106515,0.4252150208019523,175
성북구,삼선동1가,1129011100,3,복합 밀집형,0.3275976174718729,0.4715672676837725,0.0693481276005547,0.424453810970763,176
성북구,삼선동5가,1129011500,3,복합 밀집형,0.3275862068965517,0.4716981132075472,0.0691823899371069,0.4243351662759133,177
성북구,삼선동3가,1129011300,3,복합 밀집형,0.3274725274725275,0.4715821812596006,0.0691244239631336,0.42417285701274143,178
성북구,동소문동5가,1129010800,3,복합 밀집형,0.3275434243176178,0.4739583333333333,0.0677083333333333,0.4237299836930767,179
성북구,동소문동2가,1129010500,3,복합 밀집형,0.3240223463687151,0.4705882352941176,0.0705882352941176,0.42336870921700176,180
노원구,하계동,1135010400,3,복합 밀집형,0.2585004826772498,0.3119286025250326,0.1656508489333913,0.4206772068605762,185
은평구,불광동,1138010300,3,복합 밀집형,0.2746841586173427,0.3951145979649868,0.1220322724313953,0.41839484187954323,186
구로구,오류동,1153010800,3,복합 밀집형,0.3042101857842684,0.4235235977267111,0.0923647146034099,0.4160734183334571,187
강서구,방화동,1150010900,3,복합 밀집형,0.27369321717486,0.3980690037028065,0.117797695262484,0.4148382412063277,188
서초구,원지동,1165010400,3,복합 밀집형,0.3378378378378378,0.4647887323943662,0.056338028169014,0.414636163892499,189
중구,중림동,1114017100,3,복합 밀집형,0.2846435975123584,0.4012875536480687,0.109799713876967,0.414129863959069,190
중구,만리동2가,1114017400,3,복합 밀집형,0.2847206641238501,0.4011071967790639,0.1097131353799698,0.4140177305671066,191
송파구,마천동,1171011400,3,복합 밀집형,0.2196158219137095,0.3608028178374426,0.1608294012095434,0.41364529088515983,192
서대문구,충정로3가,1141010200,3,복합 밀집형,0.3181312569521691,0.463678516228748,0.0656877897990726,0.41275477691862705,193
중구,만리동1가,1114017300,3,복합 밀집형,0.283987915407855,0.4016949152542373,0.1084745762711864,0.41263330076648386,194
마포구,신수동,1144011100,3,복합 밀집형,0.3504838489845986,0.471012443438914,0.0442590497737556,0.41198894310554396,195
노원구,월계동,1135010200,3,복합 밀집형,0.2508880874257667,0.3625246548323471,0.1405249582764375,0.41125759598382206,196
서대문구,충정로2가,1141010100,3,복합 밀집형,0.317741935483871,0.4646464646464646,0.0639730639730639,0.4112338751900196,197
