시도명,시군구명,법정동명,법정동코드,법정동코드8,기준연월,청년연령기준,총인구수,청년인구수,청년비율,청년비율_norm,총가구수,1인가구수,1인가구비율,1인가구비율_norm,기초수급가구수,기초수급가구비율,기초수급가구비율_norm,concentration_index,concentration_rank,cluster_id,cluster_label,neighbor_count,spatial_lag_ci_centered,local_moran_i,lisa_p_value,lisa_cluster,연결된_행정동수
서울특별시,용산구,갈월동,1117010400,11170104,2024,20-39세,2710,736,0.2715867158671586,0.4181912685268584,1540,1036,0.6727272727272727,0.8556593028183938,550,0.3571428571428571,1.0,0.7530647348299185,1,2,저소득 밀집형,10,0.0897600049565114,0.03196677295877484,0.062,Not significant,1
서울특별시,용산구,동자동,1117010700,11170107,2024,20-39세,3442,934,0.2713538640325392,0.4178327215199204,1956,1315,0.6722903885480572,0.8551036184759344,698,0.3568507157464212,0.9991820040899795,0.7524862395062453,2,2,저소득 밀집형,6,0.06380816738349572,0.02268747549804424,0.292,Not significant,1
서울특별시,용산구,남영동,1117010500,11170105,2024,20-39세,584,158,0.2705479452054795,0.41659176164623263,332,223,0.6716867469879518,0.8543358310865842,118,0.3554216867469879,0.9951807228915662,0.7504211189142048,3,2,저소득 밀집형,2,-0.02039632470570696,-0.00720994631788936,0.81,Not significant,1
서울특별시,광진구,화양동,1121510700,11215107,2024,20-39세,22880,14859,0.6494318181818182,1.0,17461,13728,0.7862092663650421,1.0,639,0.0365958421625336,0.10246835805509409,0.6858639253192829,4,0,청년 밀집형,6,0.057343748321026566,0.016568629293618593,0.347,Not significant,1
서울특별시,종로구,청진동,1111012200,11110122,2024,20-39세,51,15,0.2941176470588235,0.4528845658998507,30,22,0.7333333333333333,0.9327457264957265,7,0.2333333333333333,0.6533333333333333,0.6669999826803323,5,2,저소득 밀집형,4,-0.07330526024916939,-0.019797646240305368,0.31,Not significant,1
서울특별시,종로구,경운동,1111013400,11110134,2024,20-39세,244,71,0.290983606557377,0.44805874675501617,144,103,0.7152777777777778,0.9097803961085211,33,0.2291666666666666,0.6416666666666666,0.6543380135301453,6,2,저소득 밀집형,6,0.13685390899415437,0.03522747184641988,0.021,HH,1
서울특별시,종로구,관철동,1111013500,11110135,2024,20-39세,319,93,0.2915360501567398,0.4489094035659335,189,135,0.7142857142857143,0.9085185647685649,43,0.2275132275132275,0.6370370370370371,0.6526368236416091,7,2,저소득 밀집형,8,-0.15676729778566562,-0.0400866728003598,0.003,HL,1
서울특별시,종로구,낙원동,1111013700,11110137,2024,20-39세,859,249,0.289871944121071,0.4463470005713779,509,364,0.7151277013752456,0.9095895100315533,116,0.2278978388998035,0.6381139489194498,0.6524381853312556,8,2,저소득 밀집형,7,0.24810626276479358,0.06339350546140574,0.001,HH,1
서울특별시,종로구,관수동,1111015500,11110155,2024,20-39세,376,109,0.2898936170212766,0.4463803726661827,223,159,0.7130044843049327,0.9068889350559753,51,0.2286995515695067,0.6403587443946188,0.6524253714880731,9,2,저소득 밀집형,6,0.12393044927437369,0.031663818262113334,0.048,HH,1
서울특별시,종로구,원남동,1111015900,11110159,2024,20-39세,445,129,0.2898876404494382,0.44637116989589787,264,189,0.7159090909090909,0.9105833796884933,60,0.2272727272727272,0.6363636363636362,0.6521321960973849,10,2,저소득 밀집형,5,0.0531899747318708,0.013574267928006558,0.379,Not significant,1
서울특별시,종로구,종로3가,1111015600,11110156,2024,20-39세,120,35,0.2916666666666667,0.4491105278506854,71,51,0.7183098591549296,0.9136369792179652,16,0.2253521126760563,0.6309859154929577,0.6521248489356646,11,2,저소득 밀집형,10,0.17566337613483196,0.04482861848275662,0.002,HH,1
서울특별시,종로구,인의동,1111015700,11110157,2024,20-39세,1097,319,0.2907930720145852,0.4477653602324322,651,465,0.7142857142857143,0.9085185647685649,148,0.227342549923195,0.636559139784946,0.6520691444366518,12,2,저소득 밀집형,5,0.0654666258908664,0.016703184541397062,0.294,Not significant,1
서울특별시,종로구,권농동,1111013100,11110131,2024,20-39세,118,34,0.288135593220339,0.4436733543900233,70,50,0.7142857142857143,0.9085185647685649,16,0.2285714285714285,0.6399999999999999,0.6518412434670776,13,2,저소득 밀집형,4,0.06235505411907011,0.01589508593483572,0.363,Not significant,1
서울특별시,종로구,익선동,1111013300,11110133,2024,20-39세,1009,293,0.2903865213082259,0.4471393503958684,599,428,0.7145242070116862,0.9088219098653156,136,0.2270450751252087,0.6357262103505844,0.6516495192208531,14,2,저소득 밀집형,6,0.23487931088139277,0.059828652336430296,0.002,HH,1
서울특별시,종로구,돈의동,1111015300,11110153,2024,20-39세,758,220,0.2902374670184696,0.4469098354790083,450,321,0.7133333333333334,0.9073072066822068,102,0.2266666666666666,0.6346666666666666,0.6507439377556482,15,2,저소득 밀집형,4,0.2514506256682159,0.06382200231904812,0.002,HH,1
서울특별시,종로구,견지동,1111012900,11110129,2024,20-39세,230,66,0.2869565217391304,0.4418578112518543,136,97,0.7132352941176471,0.9071825080556699,31,0.2279411764705882,0.638235294117647,0.6501873392960265,16,2,저소득 밀집형,5,-0.010525430310673645,-0.002665656241419739,0.883,Not significant,1
서울특별시,종로구,예지동,1111015800,11110158,2024,20-39세,31,9,0.2903225806451613,0.4470408940817882,18,13,0.7222222222222222,0.9186132154882155,4,0.2222222222222222,0.6222222222222222,0.6498260553528682,17,2,저소득 밀집형,6,0.18667072787684055,0.047208534872688876,0.004,HH,1
서울특별시,종로구,수송동,1111012400,11110124,2024,20-39세,257,74,0.2879377431906614,0.44336870342569035,152,109,0.7171052631578947,0.9121048222610723,34,0.2236842105263158,0.6263157894736843,0.6480210191931028,18,2,저소득 밀집형,6,-0.11565862016766099,-0.029040992083885046,0.064,Not significant,1
서울특별시,종로구,봉익동,1111015200,11110152,2024,20-39세,52,15,0.2884615384615384,0.44417524732485353,31,22,0.7096774193548387,0.9026571546732838,7,0.2258064516129032,0.632258064516129,0.647548805546329,19,2,저소득 밀집형,4,0.08838901039695812,0.02215206381126773,0.209,Not significant,1
서울특별시,종로구,종로1가,1111012600,11110126,2024,20-39세,107,31,0.2897196261682243,0.4461124602415352,63,45,0.7142857142857143,0.9085185647685649,14,0.2222222222222222,0.6222222222222222,0.6464727082928845,20,2,저소득 밀집형,6,-0.07325704525050143,-0.018280857284720054,0.212,Not significant,1
