시군구명,법정동명,법정동코드,CI
용산구,갈월동,1117010400,0.7530647348299185
용산구,동자동,1117010700,0.7524862395062453
용산구,남영동,1117010500,0.7504211189142048
광진구,화양동,1121510700,0.6858639253192829
종로구,청진동,1111012200,0.6669999826803323
종로구,경운동,1111013400,0.6543380135301453
종로구,관철동,1111013500,0.6526368236416091
종로구,낙원동,1111013700,0.6524381853312556
종로구,관수동,1111015500,0.6524253714880731
종로구,원남동,1111015900,0.6521321960973849
종로구,종로3가,1111015600,0.6521248489356646
종로구,인의동,1111015700,0.6520691444366518
종로구,권농동,1111013100,0.6518412434670776
종로구,익선동,1111013300,0.6516495192208531
종로구,돈의동,1111015300,0.6507439377556482
종로구,견지동,1111012900,0.6501873392960265
종로구,예지동,1111015800,0.6498260553528682
종로구,수송동,1111012400,0.6480210191931028
종로구,봉익동,1111015200,0.647548805546329
종로구,종로1가,1111012600,0.6464727082928845
종로구,인사동,1111013600,0.6445065172186906
종로구,장사동,1111015400,0.6443213071215039
종로구,운니동,1111013200,0.6437417019826883
영등포구,영등포동3가,1156010400,0.6419823437187346
영등포구,영등포동5가,1156010600,0.641954145296052
영등포구,영등포동7가,1156010800,0.6419116753880841
서대문구,창천동,1141011600,0.6418537415534078
영등포구,영등포동8가,1156010900,0.6418213411751379
영등포구,영등포동2가,1156010300,0.6417103029967327
서대문구,봉원동,1141011500,0.6416028740832892
영등포구,영등포동1가,1156010200,0.6414851039577504
서대문구,대신동,1141011300,0.6412257381653418
영등포구,영등포동6가,1156010700,0.6411062864783178
서대문구,신촌동,1141011400,0.6406954501382456
영등포구,영등포동4가,1156010500,0.6406346213627506
종로구,관훈동,1111012800,0.6394887726381695
종로구,묘동,1111015100,0.6373047176677552
금천구,가산동,1154510100,0.6299913682664559
종로구,종로2가,1111013800,0.6223930748990474
영등포구,영등포동,1156010100,0.6008178349811035
성동구,사근동,1120010600,0.5926317560025239
성북구,안암동1가,1129012100,0.5826496452090842
성북구,안암동3가,1129012300,0.5826173278069467
성북구,안암동5가,1129012500,0.5822947156390204
성북구,안암동4가,1129012400,0.5822075908144164
성북구,안암동2가,1129012200,0.5820663294082205
성동구,용답동,1120012200,0.5746013613011492
서대문구,대현동,1141011200,0.5694098011421584
종로구,종로4가,1111016100,0.5689192273925011
구로구,가리봉동,1153010300,0.5623081546993471
동대문구,회기동,1123010800,0.560956837258649
중구,입정동,1114015600,0.5536787937724146
종로구,와룡동,1111013000,0.5522814617448611
중구,광희동2가,1114014600,0.5518963824434737
중구,을지로5가,1114015100,0.5516734544730048
중구,인현동2가,1114013400,0.5506248448361443
중구,주교동,1114015200,0.5506043115116099
중구,쌍림동,1114014700,0.5500355798805052
중구,오장동,1114015400,0.5495349272386795
성북구,동선동2가,1129011700,0.5495194717058038
중구,을지로4가,1114015000,0.549307997532683
성북구,동소문동7가,1129011000,0.5488702551669941
성북구,동선동3가,1129011800,0.5486631933406309
성북구,동소문동6가,1129010900,0.5484503862116021
중구,광희동1가,1114014500,0.5480726694404381
중구,저동2가,1114016100,0.5477500569167573
강남구,수서동,1168011500,0.5475729890376345
중구,산림동,1114015700,0.546832916809815
성북구,동선동4가,1129011900,0.5467721875859781
성북구,동선동1가,1129011600,0.5465341179061354
종로구,충신동,1111016700,0.5462002766763556
종로구,연지동,1111016000,0.5461980610448959
성북구,동선동5가,1129012000,0.545963595173179
중구,을지로3가,1114015500,0.5455049832261886
중구,초동,1114015900,0.5454794432239038
종로구,종로6가,1111016400,0.5451775024012416
종로구,종로5가,1111016300,0.5447271055228812
종로구,효제동,1111016200,0.5437271811045234
중구,을지로6가,1114014800,0.5431501893150373
중구,방산동,1114015300,0.54089971950088
중구,인현동1가,1114016000,0.5364960296995279
용산구,서계동,1117010800,0.5333803142440039
용산구,청파동2가,1117011000,0.5332255183379832
용산구,청파동1가,1117010900,0.5331478419391305
용산구,청파동3가,1117011100,0.5327641780652353
중구,충무로4가,1114013200,0.5325887083326176
관악구,신림동,1162010200,0.5322221477205593
중구,충무로5가,1114013300,0.5312629486543788
종로구,숭인동,1111017500,0.522956063162178
중구,을지로7가,1114014900,0.5195528144238729
마포구,서교동,1144012000,0.5182775029783189
마포구,동교동,1144012100,0.5179050229112981
광진구,군자동,1121510900,0.517079659296212
중구,흥인동,1114016300,0.516931765420245
마포구,노고산동,1144011000,0.5139854335398399
중구,장충동1가,1114014300,0.5125095882463623
성동구,송정동,1120011800,0.5121125104671591
중구,남창동,1114011200,0.5104147829943217
강북구,번동,1130510200,0.5096654240895253
중구,남대문로5가,1114011800,0.509457188298916
중구,황학동,1114016500,0.5085564878845984
강서구,가양동,1150010400,0.5064453206330617
중구,묵정동,1114013600,0.5062122311178916
중구,장충동2가,1114014400,0.5060519575170558
광진구,능동,1121510200,0.5026307776802191
관악구,봉천동,1162010100,0.5009163010702409
종로구,연건동,1111016600,0.5000446670362764
종로구,동숭동,1111016800,0.5000369523152793
종로구,이화동,1111016500,0.49986935273934896
강서구,등촌동,1150010200,0.49928562163038703
동작구,노량진동,1159010100,0.49596488001323774
중구,필동3가,1114013900,0.49317711935334063
