priority_rank,시군구명,법정동명,법정동코드,concentration_index,concentration_rank,청년비율,1인가구비율,기초수급가구비율,cluster_label,lisa_cluster,lisa_p_value,is_lisa_hotspot_hh
1,용산구,갈월동,1117010400,0.7530647348299185,1,0.2715867158671586,0.6727272727272727,0.3571428571428571,저소득 밀집형,Not significant,0.062,False
2,용산구,동자동,1117010700,0.7524862395062453,2,0.2713538640325392,0.6722903885480572,0.3568507157464212,저소득 밀집형,Not significant,0.292,False
3,용산구,남영동,1117010500,0.7504211189142048,3,0.2705479452054795,0.6716867469879518,0.3554216867469879,저소득 밀집형,Not significant,0.81,False
4,광진구,화양동,1121510700,0.6858639253192829,4,0.6494318181818182,0.7862092663650421,0.0365958421625336,청년 밀집형,Not significant,0.347,False
5,종로구,청진동,1111012200,0.6669999826803323,5,0.2941176470588235,0.7333333333333333,0.2333333333333333,저소득 밀집형,Not significant,0.31,False
6,종로구,경운동,1111013400,0.6543380135301453,6,0.290983606557377,0.7152777777777778,0.2291666666666666,저소득 밀집형,HH,0.021,True
7,종로구,관철동,1111013500,0.6526368236416091,7,0.2915360501567398,0.7142857142857143,0.2275132275132275,저소득 밀집형,HL,0.003,False
8,종로구,낙원동,1111013700,0.6524381853312556,8,0.289871944121071,0.7151277013752456,0.2278978388998035,저소득 밀집형,HH,0.001,True
9,종로구,관수동,1111015500,0.6524253714880731,9,0.2898936170212766,0.7130044843049327,0.2286995515695067,저소득 밀집형,HH,0.048,True
10,종로구,원남동,1111015900,0.6521321960973849,10,0.2898876404494382,0.7159090909090909,0.2272727272727272,저소득 밀집형,Not significant,0.379,False
11,종로구,종로3가,1111015600,0.6521248489356646,11,0.2916666666666667,0.7183098591549296,0.2253521126760563,저소득 밀집형,HH,0.002,True
12,종로구,인의동,1111015700,0.6520691444366518,12,0.2907930720145852,0.7142857142857143,0.227342549923195,저소득 밀집형,Not significant,0.294,False
13,종로구,권농동,1111013100,0.6518412434670776,13,0.288135593220339,0.7142857142857143,0.2285714285714285,저소득 밀집형,Not significant,0.363,False
14,종로구,익선동,1111013300,0.6516495192208531,14,0.2903865213082259,0.7145242070116862,0.2270450751252087,저소득 밀집형,HH,0.002,True
15,종로구,돈의동,1111015300,0.6507439377556482,15,0.2902374670184696,0.7133333333333334,0.2266666666666666,저소득 밀집형,HH,0.002,True
16,종로구,견지동,1111012900,0.6501873392960265,16,0.2869565217391304,0.7132352941176471,0.2279411764705882,저소득 밀집형,Not significant,0.883,False
17,종로구,예지동,1111015800,0.6498260553528682,17,0.2903225806451613,0.7222222222222222,0.2222222222222222,저소득 밀집형,HH,0.004,True
18,종로구,수송동,1111012400,0.6480210191931028,18,0.2879377431906614,0.7171052631578947,0.2236842105263158,저소득 밀집형,Not significant,0.064,False
19,종로구,봉익동,1111015200,0.647548805546329,19,0.2884615384615384,0.7096774193548387,0.2258064516129032,저소득 밀집형,Not significant,0.209,False
20,종로구,종로1가,1111012600,0.6464727082928845,20,0.2897196261682243,0.7142857142857143,0.2222222222222222,저소득 밀집형,Not significant,0.212,False
21,종로구,인사동,1111013600,0.6445065172186906,21,0.2837837837837837,0.7045454545454546,0.2272727272727272,저소득 밀집형,Not significant,0.076,False
22,종로구,장사동,1111015400,0.6443213071215039,22,0.2857142857142857,0.7297297297297297,0.2162162162162162,저소득 밀집형,HH,0.002,True
23,종로구,운니동,1111013200,0.6437417019826883,23,0.2857142857142857,0.7157894736842105,0.2210526315789473,저소득 밀집형,Not significant,0.276,False
24,영등포구,영등포동3가,1156010400,0.6419823437187346,24,0.551170568561873,0.7111574556830031,0.0750782064650677,청년 밀집형,HH,0.002,True
25,영등포구,영등포동5가,1156010600,0.641954145296052,25,0.5510373443983403,0.711139896373057,0.0751295336787564,청년 밀집형,HH,0.001,True
26,영등포구,영등포동7가,1156010800,0.6419116753880841,26,0.5510086455331412,0.711300831273871,0.075039317007414,청년 밀집형,HH,0.025,True
27,서대문구,창천동,1141011600,0.6418537415534078,27,0.6019988791331964,0.7690885072655218,0.0244385733157199,청년 밀집형,HH,0.035,True
28,영등포구,영등포동8가,1156010900,0.6418213411751379,28,0.5511458915595304,0.7111111111111111,0.0749455337690631,청년 밀집형,Not significant,0.285,False
29,영등포구,영등포동2가,1156010300,0.6417103029967327,29,0.5509838998211091,0.7112970711297071,0.0748489074848907,청년 밀집형,HH,0.026,True
30,서대문구,봉원동,1141011500,0.6416028740832892,30,0.6016713091922006,0.7707509881422925,0.0237154150197628,청년 밀집형,Not significant,0.158,False
