LDRI_rank,법정동코드,시군구명,법정동명,관측품질,CI,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_등급,위험유형
104,1120011000,성동구,금호동2가,주거비관측,0.332671,0.2694,0.2694,0.089622,45.480865,높음,이탈진행형
105,1114016500,중구,황학동,주거비관측,0.508556,0.176,0.176,0.089506,45.418681,높음,잠재위험형
106,1111016600,종로구,연건동,주거비관측,0.500045,0.1782,0.1782,0.089108,45.204772,높음,잠재위험형
107,1117013300,용산구,서빙고동,주거비관측,0.296871,0.2994,0.2994,0.088883,45.083967,높음,이탈진행형
108,1126010100,중랑구,면목동,주거비관측,0.438395,0.2026,0.2026,0.088819,45.049373,높음,강제잔류·압박형
109,1141010600,서대문구,천연동,주거비관측,0.367646,0.2414,0.2414,0.08875,45.012209,높음,이탈진행형
110,1117012300,용산구,신계동,주거비관측,0.458723,0.1931,0.1931,0.088579,44.920715,높음,잠재위험형
111,1159010600,동작구,동작동,주거비관측,0.320419,0.2755,0.2755,0.088276,44.757354,높음,이탈진행형
112,1123010300,동대문구,제기동,주거비관측,0.491295,0.1794,0.1794,0.088138,44.683571,높음,잠재위험형
113,1153010800,구로구,오류동,주거비관측,0.416073,0.2118,0.2118,0.088124,44.676098,높음,강제잔류·압박형
114,1168010800,강남구,논현동,주거비관측,0.477301,0.1838,0.1838,0.087728,44.463036,높음,잠재위험형
115,1111018500,종로구,홍지동,주거비관측,0.290399,0.301,0.301,0.08741,44.29216,높음,이탈진행형
116,1111016700,종로구,충신동,주거비관측,0.5462,0.16,0.16,0.087392,44.282496,높음,잠재위험형
117,1121510100,광진구,중곡동,주거비관측,0.445191,0.1963,0.1963,0.087391,44.281917,높음,잠재위험형
118,1111017400,종로구,창신동,주거비관측,0.430114,0.2028,0.2028,0.087227,44.193832,높음,강제잔류·압박형
119,1114016400,중구,무학동,주거비관측,0.475732,0.1828,0.1828,0.086964,44.052355,높음,잠재위험형
120,1165010200,서초구,양재동,주거비관측,0.393245,0.2208,0.2208,0.086828,43.979583,높음,이탈진행형
121,1129011600,성북구,동선동1가,주거비관측,0.546534,0.1586,0.1586,0.08668,43.899952,높음,잠재위험형
122,1129010100,성북구,성북동,주거비관측,0.392401,0.2208,0.2208,0.086642,43.879409,높음,이탈진행형
123,1129013800,성북구,장위동,주거비관측,0.393408,0.2201,0.2201,0.086589,43.850952,높음,이탈진행형
124,1114013800,중구,필동2가,주거비관측,0.491083,0.1763,0.1763,0.086578,43.844933,높음,잠재위험형
125,1156011300,영등포구,당산동3가,주거비관측,0.464972,0.1855,0.1855,0.086252,43.669869,높음,잠재위험형
126,1121510200,광진구,능동,주거비관측,0.502631,0.1716,0.1716,0.086251,43.669442,높음,잠재위험형
127,1174010900,강동구,천호동,주거비관측,0.456162,0.1888,0.1888,0.086123,43.600663,높음,잠재위험형
128,1144012400,마포구,연남동,주거비관측,0.47211,0.1821,0.1821,0.085971,43.518801,높음,잠재위험형
129,1114016200,중구,신당동,주거비관측,0.406429,0.2115,0.2115,0.08596,43.512645,높음,강제잔류·압박형
130,1129010300,성북구,돈암동,주거비관측,0.359899,0.2386,0.2386,0.085872,43.465431,높음,이탈진행형
131,1144011100,마포구,신수동,주거비관측,0.411989,0.2083,0.2083,0.085817,43.436096,높음,강제잔류·압박형
132,1138010300,은평구,불광동,주거비관측,0.418395,0.2031,0.2031,0.084976,42.983909,높음,강제잔류·압박형
133,1159010700,동작구,사당동,주거비관측,0.392619,0.216,0.216,0.084806,42.892384,보통,이탈진행형
134,1129011500,성북구,삼선동5가,주거비관측,0.424335,0.1995,0.1995,0.084655,42.811309,보통,잠재위험형
135,1144012600,마포구,중동,주거비관측,0.452549,0.1866,0.1866,0.084446,42.698897,보통,잠재위험형
136,1111010800,종로구,통인동,주거비관측,0.304731,0.2767,0.2767,0.084319,42.630787,보통,이탈진행형
137,1129010700,성북구,동소문동4가,주거비관측,0.39175,0.2144,0.2144,0.083991,42.454619,보통,이탈진행형
138,1144010300,마포구,신공덕동,주거비관측,0.40321,0.2075,0.2075,0.083666,42.27982,보통,강제잔류·압박형
139,1168011100,강남구,세곡동,주거비관측,0.375236,0.2228,0.2228,0.083603,42.245723,보통,이탈진행형
140,1129013600,성북구,하월곡동,주거비관측,0.348633,0.2387,0.2387,0.083219,42.039332,보통,이탈진행형
141,1111010100,종로구,청운동,주거비관측,0.305462,0.2723,0.2723,0.083177,42.017123,보통,이탈진행형
142,1114014800,중구,을지로6가,주거비관측,0.54315,0.1529,0.1529,0.083048,41.947465,보통,잠재위험형
143,1135010400,노원구,하계동,주거비관측,0.420677,0.1973,0.1973,0.083,41.921639,보통,잠재위험형
144,1117011700,용산구,원효로3가,주거비관측,0.38176,0.217,0.217,0.082842,41.836847,보통,이탈진행형
145,1117012400,용산구,한강로1가,주거비관측,0.410736,0.2009,0.2009,0.082517,41.66214,보통,강제잔류·압박형
146,1117011500,용산구,산천동,주거비관측,0.382839,0.2151,0.2151,0.082349,41.571759,보통,이탈진행형
147,1144011800,마포구,당인동,주거비관측,0.391734,0.2097,0.2097,0.082147,41.463131,보통,이탈진행형
148,1144010600,마포구,토정동,주거비관측,0.29752,0.2761,0.2761,0.082145,41.462475,보통,이탈진행형
149,1159010400,동작구,본동,주거비관측,0.45923,0.1787,0.1787,0.082064,41.419001,보통,잠재위험형
150,1129013500,성북구,종암동,주거비관측,0.358464,0.228,0.228,0.08173,41.239113,보통,이탈진행형
151,1159010200,동작구,상도동,주거비관측,0.405498,0.2012,0.2012,0.081586,41.161924,보통,강제잔류·압박형
152,1117011400,용산구,신창동,주거비관측,0.382508,0.2131,0.2131,0.081512,41.122326,보통,이탈진행형
153,1168010100,강남구,역삼동,주거비관측,0.440982,0.1844,0.1844,0.081317,41.017324,보통,잠재위험형
154,1114013600,중구,묵정동,주거비관측,0.506212,0.1606,0.1606,0.081298,41.006881,보통,잠재위험형
155,1154510300,금천구,시흥동,주거비관측,0.395848,0.2045,0.2045,0.080951,40.820462,보통,이탈진행형
156,1129010200,성북구,성북동1가,주거비관측,0.391788,0.2059,0.2059,0.080669,40.669064,보통,이탈진행형
157,1141011700,서대문구,연희동,주거비관측,0.448292,0.1798,0.1798,0.080603,40.633416,보통,잠재위험형
158,1117011900,용산구,효창동,주거비관측,0.335536,0.24,0.24,0.080529,40.593543,보통,이탈진행형
159,1144010200,마포구,공덕동,주거비관측,0.361204,0.2224,0.2224,0.080332,40.487759,보통,이탈진행형
160,1129010900,성북구,동소문동6가,주거비관측,0.54845,0.1463,0.1463,0.080238,40.437475,보통,잠재위험형
161,1129012700,성북구,보문동5가,주거비관측,0.405291,0.1979,0.1979,0.080207,40.420696,보통,잠재위험형
162,1129013700,성북구,상월곡동,주거비관측,0.428234,0.1863,0.1863,0.07978,40.191139,보통,잠재위험형
163,1171011100,송파구,방이동,주거비관측,0.374679,0.2129,0.2129,0.079769,40.185339,보통,이탈진행형
164,1117013200,용산구,동빙고동,주거비관측,0.297042,0.2684,0.2684,0.079726,40.162102,보통,이탈진행형
165,1138010200,은평구,녹번동,주거비관측,0.384938,0.2069,0.2069,0.079644,40.117917,보통,이탈진행형
166,1129012400,성북구,안암동4가,주거비관측,0.582208,0.1364,0.1364,0.079413,39.993957,보통,잠재위험형
167,1174010800,강동구,성내동,주거비관측,0.392661,0.2022,0.2022,0.079396,39.98474,보통,이탈진행형
168,1159010900,동작구,신대방동,주거비관측,0.368436,0.2152,0.2152,0.079287,39.926391,보통,이탈진행형
169,1121510500,광진구,자양동,주거비관측,0.392795,0.2018,0.2018,0.079266,39.914871,보통,이탈진행형
170,1111017000,종로구,명륜1가,주거비관측,0.472228,0.1678,0.1678,0.07924,39.900807,보통,잠재위험형
171,1129013000,성북구,보문동1가,주거비관측,0.4051,0.1952,0.1952,0.079075,39.812485,보통,잠재위험형
172,1144012300,마포구,망원동,주거비관측,0.390708,0.2023,0.2023,0.07904,39.793552,보통,이탈진행형
173,1144011300,마포구,구수동,주거비관측,0.333333,0.2364,0.2364,0.0788,39.664364,보통,이탈진행형
174,1129011200,성북구,삼선동2가,주거비관측,0.425215,0.1848,0.1848,0.07858,39.546029,보통,잠재위험형
175,1153010600,구로구,고척동,주거비관측,0.340844,0.2296,0.2296,0.078258,39.372953,보통,이탈진행형
176,1120010400,성동구,도선동,주거비관측,0.385829,0.2023,0.2023,0.078053,39.263077,보통,이탈진행형
177,1135010200,노원구,월계동,주거비관측,0.411258,0.1896,0.1896,0.077974,39.220693,보통,잠재위험형
178,1121510300,광진구,구의동,주거비관측,0.391657,0.1988,0.1988,0.077861,39.15992,보통,안정형
179,1114017100,중구,중림동,주거비관측,0.41413,0.187,0.187,0.077442,38.934668,보통,잠재위험형
180,1111017200,종로구,명륜4가,주거비관측,0.471554,0.1633,0.1633,0.077005,38.699477,보통,잠재위험형
181,1141012000,서대문구,남가좌동,주거비관측,0.334387,0.2301,0.2301,0.076943,38.666058,보통,이탈진행형
182,1123010500,동대문구,답십리동,주거비관측,0.367632,0.2083,0.2083,0.076578,38.47,보통,이탈진행형
183,1120011100,성동구,금호동3가,주거비관측,0.332533,0.2302,0.2302,0.076549,38.454611,보통,이탈진행형
184,1114014600,중구,광희동2가,주거비관측,0.551896,0.1385,0.1385,0.076438,38.394693,보통,잠재위험형
185,1120010200,성동구,하왕십리동,주거비관측,0.383985,0.199,0.199,0.076413,38.381449,보통,안정형
186,1129013400,성북구,길음동,주거비관측,0.248076,0.3066,0.3066,0.07606,38.191715,보통,이탈진행형
187,1138010800,은평구,역촌동,주거비관측,0.381936,0.1987,0.1987,0.075891,38.100732,보통,안정형
188,1117012800,용산구,한강로3가,주거비관측,0.410593,0.1845,0.1845,0.075754,38.02743,보통,잠재위험형
189,1144010900,마포구,염리동,주거비관측,0.327494,0.2312,0.2312,0.075717,38.007133,보통,이탈진행형
190,1138010400,은평구,갈현동,주거비관측,0.399897,0.1888,0.1888,0.0755,37.890988,보통,잠재위험형
191,1120011400,성동구,성수동1가,주거비관측,0.379821,0.1987,0.1987,0.07547,37.874817,보통,안정형
192,1156012800,영등포구,양평동4가,주거비관측,0.408586,0.1847,0.1847,0.075466,37.872399,보통,잠재위험형
193,1117011800,용산구,원효로4가,주거비관측,0.382677,0.197,0.197,0.075387,37.830166,보통,안정형
194,1130510100,강북구,미아동,주거비관측,0.402287,0.1872,0.1872,0.075308,37.787558,보통,잠재위험형
195,1129012000,성북구,동선동5가,주거비관측,0.545964,0.1375,0.1375,0.07507,37.659602,보통,잠재위험형
196,1130510400,강북구,우이동,주거비관측,0.38002,0.1968,0.1968,0.074788,37.508001,보통,안정형
197,1123010400,동대문구,전농동,주거비관측,0.387495,0.1928,0.1928,0.074709,37.465559,보통,안정형
198,1138011000,은평구,증산동,주거비관측,0.329968,0.2259,0.2259,0.07454,37.374569,보통,이탈진행형
199,1171010800,송파구,문정동,주거비관측,0.379637,0.1949,0.1949,0.073991,37.079766,낮음,안정형
200,1126010600,중랑구,신내동,주거비관측,0.343329,0.215,0.215,0.073816,36.985466,낮음,이탈진행형
201,1129013900,성북구,석관동,주거비관측,0.397715,0.1853,0.1853,0.073697,36.921398,낮음,안정형
202,1159010300,동작구,상도1동,주거비관측,0.429321,0.1707,0.1707,0.073285,36.700261,낮음,잠재위험형
203,1150010900,강서구,방화동,주거비관측,0.414838,0.1766,0.1766,0.07326,36.686994,낮음,잠재위험형
204,1132010500,도봉구,쌍문동,주거비관측,0.362735,0.2017,0.2017,0.073164,36.634995,낮음,이탈진행형
205,1174010500,강동구,길동,주거비관측,0.38844,0.1876,0.1876,0.072871,36.477892,낮음,안정형
206,1135010300,노원구,공릉동,주거비관측,0.403958,0.18,0.18,0.072712,36.392408,낮음,잠재위험형
207,1171010400,송파구,송파동,주거비관측,0.370704,0.196,0.196,0.072658,36.363162,낮음,안정형
208,1111017900,종로구,홍파동,주거비관측,0.316753,0.2289,0.2289,0.072505,36.280795,낮음,이탈진행형
209,1150010100,강서구,염창동,주거비관측,0.369455,0.1957,0.1957,0.072302,36.172036,낮음,안정형
210,1153010200,구로구,구로동,주거비관측,0.39831,0.1811,0.1811,0.072134,36.081478,낮음,안정형
211,1150010300,강서구,화곡동,주거비관측,0.404406,0.1783,0.1783,0.072106,36.066313,낮음,잠재위험형
212,1141010100,서대문구,충정로2가,주거비관측,0.411234,0.1742,0.1742,0.071637,35.814394,낮음,잠재위험형
213,1120010500,성동구,마장동,주거비관측,0.409801,0.1747,0.1747,0.071592,35.790346,낮음,잠재위험형
214,1159010800,동작구,대방동,주거비관측,0.398648,0.1784,0.1784,0.071119,35.535942,낮음,잠재위험형
215,1123010600,동대문구,장안동,주거비관측,0.360977,0.1969,0.1969,0.071076,35.513069,낮음,안정형
216,1132010700,도봉구,창동,주거비관측,0.33563,0.2113,0.2113,0.070919,35.428328,낮음,이탈진행형
217,1141011100,서대문구,홍제동,주거비관측,0.340499,0.2079,0.2079,0.07079,35.359015,낮음,이탈진행형
218,1144012700,마포구,상암동,주거비관측,0.353229,0.1996,0.1996,0.070505,35.205755,낮음,안정형
219,1130510300,강북구,수유동,주거비관측,0.432368,0.163,0.163,0.070476,35.190377,낮음,잠재위험형
220,1120010700,성동구,행당동,주거비관측,0.402606,0.1745,0.1745,0.070255,35.071517,낮음,잠재위험형
221,1159010500,동작구,흑석동,주거비관측,0.312342,0.2247,0.2247,0.070183,35.033108,낮음,이탈진행형
222,1129012800,성북구,보문동6가,주거비관측,0.405739,0.1729,0.1729,0.070152,35.016376,낮음,잠재위험형
223,1156012700,영등포구,양평동3가,주거비관측,0.42704,0.1638,0.1638,0.069949,34.907265,낮음,잠재위험형
224,1129012900,성북구,보문동7가,주거비관측,0.404194,0.173,0.173,0.069926,34.894561,낮음,잠재위험형
225,1111011800,종로구,내수동,주거비관측,0.342529,0.2028,0.2028,0.069465,34.6469,낮음,이탈진행형
226,1168011400,강남구,일원동,주거비관측,0.302361,0.2293,0.2293,0.069331,34.57519,낮음,이탈진행형
227,1111018600,종로구,신영동,주거비관측,0.291103,0.237,0.237,0.068991,34.392452,낮음,이탈진행형
228,1135010500,노원구,상계동,주거비관측,0.353366,0.194,0.194,0.068553,34.156858,낮음,안정형
229,1141011800,서대문구,홍은동,주거비관측,0.34695,0.1975,0.1975,0.068523,34.140495,낮음,안정형
230,1168010400,강남구,청담동,주거비관측,0.292976,0.233,0.233,0.068263,34.001172,낮음,이탈진행형
231,1153011000,구로구,온수동,주거비관측,0.336991,0.2016,0.2016,0.067937,33.825984,낮음,이탈진행형
232,1171011300,송파구,거여동,주거비관측,0.30502,0.2213,0.2213,0.067501,33.591307,낮음,이탈진행형
233,1111010900,종로구,누상동,주거비관측,0.306491,0.2202,0.2202,0.067489,33.585172,낮음,이탈진행형
234,1144011500,마포구,상수동,주거비관측,0.39169,0.1718,0.1718,0.067292,33.479288,낮음,안정형
235,1171011200,송파구,오금동,주거비관측,0.324563,0.207,0.207,0.067185,33.421349,낮음,이탈진행형
236,1120011300,성동구,옥수동,주거비관측,0.28543,0.2353,0.2353,0.067162,33.408975,낮음,이탈진행형
237,1135010600,노원구,중계동,주거비관측,0.348296,0.192,0.192,0.066873,33.253813,낮음,안정형
