LDRI_rank,법정동코드,시군구명,법정동명,CI,주거비_압박지수,LDRI_raw,LDRI,LDRI_등급,위험유형
62,1156010600,영등포구,영등포동5가,0.641954,0.1659,0.278943,53.500508,매우높음,잠재위험형
63,1123010800,동대문구,회기동,0.560957,0.1879,0.278278,53.372878,매우높음,잠재위험형
64,1162010200,관악구,신림동,0.532222,0.1961,0.276234,52.980896,매우높음,잠재위험형
65,1156010200,영등포구,영등포동1가,0.641485,0.1639,0.275149,52.772925,매우높음,잠재위험형
66,1141011200,서대문구,대현동,0.56941,0.1833,0.275142,52.771533,매우높음,잠재위험형
67,1129011000,성북구,동소문동7가,0.54887,0.1889,0.273817,52.517431,높음,잠재위험형
68,1162010100,관악구,봉천동,0.500916,0.2056,0.2733,52.418213,높음,강제잔류·압박형
69,1150010400,강서구,가양동,0.506445,0.2032,0.272916,52.344528,높음,강제잔류·압박형
70,1144010400,마포구,도화동,0.354373,0.2815,0.268602,51.517119,높음,이탈진행형
71,1111016900,종로구,혜화동,0.472448,0.2109,0.264774,50.782863,높음,강제잔류·압박형
72,1156013000,영등포구,양평동6가,0.408612,0.24,0.262268,50.302203,높음,강제잔류·압박형
73,1138010600,은평구,대조동,0.485457,0.2022,0.260247,49.914738,높음,강제잔류·압박형
74,1117013000,용산구,이태원동,0.426627,0.2265,0.257716,49.429195,높음,강제잔류·압박형
75,1111011100,종로구,옥인동,0.305202,0.3122,0.257549,49.397129,높음,이탈진행형
76,1144012200,마포구,합정동,0.452848,0.2133,0.25683,49.25939,높음,강제잔류·압박형
77,1130510200,강북구,번동,0.509665,0.1893,0.254829,48.875607,높음,잠재위험형
78,1114013900,중구,필동3가,0.493177,0.1941,0.253209,48.56478,높음,잠재위험형
79,1138010100,은평구,수색동,0.325706,0.2875,0.252342,48.398463,높음,이탈진행형
80,1144010800,마포구,대흥동,0.386154,0.2439,0.252067,48.345696,높음,이탈진행형
81,1126010300,중랑구,중화동,0.468414,0.202,0.250849,48.11211,높음,강제잔류·압박형
82,1171011400,송파구,마천동,0.413645,0.2264,0.249758,47.902917,높음,강제잔류·압박형
83,1171010500,송파구,석촌동,0.465291,0.2021,0.249307,47.816314,높음,강제잔류·압박형
84,1117013600,용산구,보광동,0.480861,0.195,0.248096,47.584208,높음,잠재위험형
85,1117012100,용산구,용문동,0.387238,0.2393,0.24779,47.52552,높음,이탈진행형
86,1117010100,용산구,후암동,0.435371,0.214,0.247771,47.521809,높음,강제잔류·압박형
87,1129011400,성북구,삼선동4가,0.4254,0.2186,0.247572,47.483591,높음,강제잔류·압박형
88,1156011400,영등포구,당산동4가,0.4214,0.2202,0.24713,47.398853,높음,강제잔류·압박형
89,1111017300,종로구,명륜3가,0.472267,0.1959,0.244851,46.961855,높음,잠재위험형
90,1150010500,강서구,마곡동,0.383458,0.2384,0.244406,46.876414,높음,이탈진행형
91,1156013200,영등포구,신길동,0.40546,0.2257,0.244022,46.802696,높음,강제잔류·압박형
92,1156011600,영등포구,당산동6가,0.421269,0.2174,0.243753,46.751215,높음,강제잔류·압박형
93,1171010600,송파구,삼전동,0.471647,0.1947,0.242947,46.596511,높음,잠재위험형
94,1120011500,성동구,성수동2가,0.40936,0.2227,0.242933,46.593861,높음,강제잔류·압박형
95,1156011700,영등포구,당산동,0.421237,0.2167,0.24291,46.589404,높음,강제잔류·압박형
96,1126010500,중랑구,망우동,0.456823,0.2006,0.242852,46.578335,높음,강제잔류·압박형
97,1120011000,성동구,금호동2가,0.332671,0.2694,0.24089,46.202129,높음,이탈진행형
98,1156012900,영등포구,양평동5가,0.408368,0.2214,0.240859,46.196025,높음,강제잔류·압박형
99,1154510200,금천구,독산동,0.457359,0.1988,0.240833,46.191194,높음,잠재위험형
100,1117013300,용산구,서빙고동,0.296871,0.2994,0.239886,46.0095,높음,이탈진행형
101,1141010200,서대문구,충정로3가,0.412755,0.218,0.239519,45.939186,높음,강제잔류·압박형
102,1144012500,마포구,성산동,0.435133,0.2063,0.238261,45.697768,높음,강제잔류·압박형
103,1111016500,종로구,이화동,0.499869,0.1808,0.238043,45.656068,높음,잠재위험형
104,1162010300,관악구,남현동,0.460272,0.1952,0.237731,45.596162,높음,잠재위험형
105,1126010200,중랑구,상봉동,0.477147,0.1886,0.237636,45.577889,높음,잠재위험형
106,1159010600,동작구,동작동,0.320419,0.2755,0.237487,45.549448,높음,이탈진행형
107,1141010600,서대문구,천연동,0.367646,0.2414,0.237413,45.535261,높음,이탈진행형
108,1111018500,종로구,홍지동,0.290399,0.301,0.235956,45.255752,높음,이탈진행형
109,1126010100,중랑구,면목동,0.438395,0.2026,0.235509,45.169919,높음,강제잔류·압박형
110,1114016500,중구,황학동,0.508556,0.176,0.23535,45.139541,높음,잠재위험형
111,1111016600,종로구,연건동,0.500045,0.1782,0.234489,44.974387,높음,잠재위험형
112,1117012300,용산구,신계동,0.458723,0.1931,0.234236,44.925828,높음,잠재위험형
113,1153010800,구로구,오류동,0.416073,0.2118,0.234228,44.924204,높음,강제잔류·압박형
114,1123010300,동대문구,제기동,0.491295,0.1794,0.232035,44.503778,높음,잠재위험형
115,1121510100,광진구,중곡동,0.445191,0.1963,0.231312,44.36501,높음,잠재위험형
116,1168010800,강남구,논현동,0.477301,0.1838,0.231302,44.36319,높음,잠재위험형
117,1111017400,종로구,창신동,0.430114,0.2028,0.231301,44.362828,높음,강제잔류·압박형
118,1165010200,서초구,양재동,0.393245,0.2208,0.231279,44.358639,높음,이탈진행형
119,1129010100,성북구,성북동,0.392401,0.2208,0.230782,44.263424,높음,이탈진행형
120,1129013800,성북구,장위동,0.393408,0.2201,0.230604,44.229281,높음,이탈진행형
121,1129010300,성북구,돈암동,0.359899,0.2386,0.229591,44.034979,높음,이탈진행형
122,1114016400,중구,무학동,0.475732,0.1828,0.229211,43.962077,높음,잠재위험형
123,1114016200,중구,신당동,0.406429,0.2115,0.228457,43.817438,높음,강제잔류·압박형
124,1111016700,종로구,충신동,0.5462,0.16,0.228319,43.791009,높음,잠재위험형
125,1144011100,마포구,신수동,0.411989,0.2083,0.227894,43.709382,높음,강제잔류·압박형
126,1114013800,중구,필동2가,0.491083,0.1763,0.227676,43.66766,높음,잠재위험형
127,1156011300,영등포구,당산동3가,0.464972,0.1855,0.227539,43.641402,높음,잠재위험형
128,1174010900,강동구,천호동,0.456162,0.1888,0.22744,43.622415,높음,잠재위험형
129,1111010800,종로구,통인동,0.304731,0.2767,0.226883,43.515462,높음,이탈진행형
130,1144012400,마포구,연남동,0.47211,0.1821,0.226541,43.449967,높음,잠재위험형
131,1121510200,광진구,능동,0.502631,0.1716,0.22642,43.426756,높음,잠재위험형
132,1129011600,성북구,동선동1가,0.546534,0.1586,0.226318,43.407166,높음,잠재위험형
133,1159010700,동작구,사당동,0.392619,0.216,0.225638,43.276707,보통,이탈진행형
134,1138010300,은평구,불광동,0.418395,0.2031,0.22535,43.221466,보통,강제잔류·압박형
135,1129011500,성북구,삼선동5가,0.424335,0.1995,0.224275,43.015346,보통,잠재위험형
136,1111010100,종로구,청운동,0.305462,0.2723,0.223666,42.898603,보통,이탈진행형
137,1129010700,성북구,동소문동4가,0.39175,0.2144,0.223385,42.844572,보통,이탈진행형
138,1144012600,마포구,중동,0.452549,0.1866,0.222853,42.742618,보통,잠재위험형
139,1168011100,강남구,세곡동,0.375236,0.2228,0.222787,42.729943,보통,이탈진행형
140,1129013600,성북구,하월곡동,0.348633,0.2387,0.222502,42.675206,보통,이탈진행형
141,1144010300,마포구,신공덕동,0.40321,0.2075,0.222135,42.604861,보통,강제잔류·압박형
142,1144010600,마포구,토정동,0.29752,0.2761,0.221015,42.390001,보통,이탈진행형
