법정동코드,법정동코드8,시군구명,법정동명,CI,주거비자료_매칭여부,관측품질,주거비_압박지수,D1_score,LDRI_raw,LDRI,LDRI_rank,LDRI_등급,위험유형,차원비교유형
1162010100,11620101,관악구,봉천동,0.500916,매칭,주거비관측,0.2056,0.2056,0.102988,52.66527,68,높음,강제잔류·압박형,CI 높음 / 주거비 높음
1162010200,11620102,관악구,신림동,0.532222,매칭,주거비관측,0.1961,0.1961,0.104369,53.407197,66,매우높음,잠재위험형,CI 높음 / 주거비 낮음
1121510400,11215104,광진구,광장동,0.192192,매칭,주거비관측,0.2334,0.2334,0.044858,21.420978,312,매우낮음,이탈진행형,CI 낮음 / 주거비 높음
1121510300,11215103,광진구,구의동,0.391657,매칭,주거비관측,0.1988,0.1988,0.077861,39.15992,178,보통,안정형,CI 낮음 / 주거비 낮음
1121510900,11215109,광진구,군자동,0.51708,매칭,주거비관측,0.2351,0.2351,0.121565,62.650115,30,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1121510200,11215102,광진구,능동,0.502631,매칭,주거비관측,0.1716,0.1716,0.086251,43.669442,126,높음,잠재위험형,CI 높음 / 주거비 낮음
1121510500,11215105,광진구,자양동,0.392795,매칭,주거비관측,0.2018,0.2018,0.079266,39.914871,169,보통,이탈진행형,CI 낮음 / 주거비 높음
1121510100,11215101,광진구,중곡동,0.445191,매칭,주거비관측,0.1963,0.1963,0.087391,44.281917,117,높음,잠재위험형,CI 높음 / 주거비 낮음
1121510700,11215107,광진구,화양동,0.685864,매칭,주거비관측,0.1578,0.1578,0.108229,55.482185,55,매우높음,잠재위험형,CI 높음 / 주거비 낮음
1153010300,11530103,구로구,가리봉동,0.562308,매칭,주거비관측,0.2057,0.2057,0.115667,59.479695,40,매우높음,강제잔류·압박형,CI 높음 / 주거비 높음
1153010700,11530107,구로구,개봉동,0.31656,매칭,주거비관측,0.1775,0.1775,0.056189,27.51156,288,매우낮음,안정형,CI 낮음 / 주거비 낮음
1153010600,11530106,구로구,고척동,0.340844,매칭,주거비관측,0.2296,0.2296,0.078258,39.372953,175,보통,이탈진행형,CI 낮음 / 주거비 높음
1153010200,11530102,구로구,구로동,0.39831,매칭,주거비관측,0.1811,0.1811,0.072134,36.081478,210,낮음,안정형,CI 낮음 / 주거비 낮음
1153010900,11530109,구로구,궁동,0.33712,매칭,주거비관측,0.1825,0.1825,0.061524,30.379028,264,낮음,안정형,CI 낮음 / 주거비 낮음
1153010100,11530101,구로구,신도림동,0.25536,매칭,주거비관측,0.2304,0.2304,0.058835,28.93354,280,매우낮음,이탈진행형,CI 낮음 / 주거비 높음
1153010800,11530108,구로구,오류동,0.416073,매칭,주거비관측,0.2118,0.2118,0.088124,44.676098,113,높음,강제잔류·압박형,CI 높음 / 주거비 높음
1153011000,11530110,구로구,온수동,0.336991,매칭,주거비관측,0.2016,0.2016,0.067937,33.825984,231,낮음,이탈진행형,CI 낮음 / 주거비 높음
1153011100,11530111,구로구,천왕동,0.332993,매칭,주거비관측,0.1126,0.1126,0.037495,17.463683,318,매우낮음,안정형,CI 낮음 / 주거비 낮음
1153011200,11530112,구로구,항동,0.312464,매칭,주거비관측,0.1768,0.1768,0.055244,27.00323,291,매우낮음,안정형,CI 낮음 / 주거비 낮음
1154510100,11545101,금천구,가산동,0.629991,매칭,주거비관측,0.1932,0.1932,0.121714,62.730148,28,매우높음,잠재위험형,CI 높음 / 주거비 낮음
1154510200,11545102,금천구,독산동,0.457359,매칭,주거비관측,0.1988,0.1988,0.090923,46.180298,97,높음,잠재위험형,CI 높음 / 주거비 낮음
1154510300,11545103,금천구,시흥동,0.395848,매칭,주거비관측,0.2045,0.2045,0.080951,40.820462,155,보통,이탈진행형,CI 낮음 / 주거비 높음
